Car Make,Country ,Year,Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Porsche,Germany,2022.00,379.00,331.00,4.00,101200.00
Lamborghini,Italy,2021.00,630.00,443.00,2.80,274390.00
Ferrari,Italy,2022.00,661.00,561.00,3.00,333750.00
Audi,Germany,2022.00,562.00,406.00,3.20,142700.00
McLaren,UK,2021.00,710.00,568.00,2.70,298000.00
BMW,Germany,2022.00,617.00,553.00,3.10,130000.00
Mercedes-Benz,Germany,2021.00,523.00,494.00,3.80,118500.00
Chevrolet,USA,2021.00,490.00,465.00,2.80,59900.00
Ford,USA,2022.00,760.00,625.00,3.50,81000.00
Nissan,Japan,2021.00,600.00,481.00,2.50,212000.00
Aston Martin,UK,2021.00,630.00,516.00,3.50,201495.00
Bugatti,Other,2021.00,1500.00,1180.00,2.40,3000000.00
Dodge,USA,2022.00,717.00,656.00,3.50,61000.00
Jaguar,UK,2022.00,296.00,295.00,5.40,70100.00
Koenigsegg,Other,2021.00,1280.00,1015.00,2.50,2800000.00
Lexus,Japan,2021.00,471.00,398.00,4.40,92950.00
Lotus,UK,2021.00,416.00,317.00,3.80,104450.00
Maserati,Italy,2021.00,454.00,384.00,4.80,150000.00
Porsche,Germany,2021.00,300.00,280.00,4.70,62000.00
Alfa Romeo,Italy,2022.00,505.00,443.00,3.80,78000.00
Ariel,UK,2021.00,320.00,243.00,2.80,75000.00
Bentley,UK,2021.00,626.00,664.00,3.60,225000.00
McLaren,UK,2022.00,671.00,531.00,3.00,225000.00
Mercedes-AMG,Germany,2021.00,622.00,468.00,3.50,248000.00
Pagani,Italy,2021.00,720.00,737.00,2.80,2800000.00
Polestar,Other,2021.00,600.00,738.00,4.10,155000.00
Rimac,Other,2022.00,1914.00,1696.00,1.85,2400000.00
Porsche,Germany,2022.00,414.00,309.00,3.80,100200.00
Lamborghini,Italy,2021.00,759.00,531.00,2.80,517770.00
Ferrari,Italy,2021.00,986.00,590.00,2.50,625000.00
Audi,Germany,2022.00,591.00,590.00,3.50,117000.00
McLaren,UK,2021.00,671.00,531.00,3.00,225000.00
BMW,Germany,2022.00,503.00,479.00,3.80,72800.00
Mercedes-Benz,Germany,2015.00,622.00,468.00,3.20,222000.00
Chevrolet,USA,2021.00,650.00,650.00,3.50,64695.00
Ford,USA,2022.00,660.00,550.00,3.00,500000.00
Nissan,Japan,2021.00,350.00,276.00,4.50,45690.00
Porsche,Germany,2022.00,562.00,479.00,3.80,104000.00
Lamborghini,Italy,2021.00,641.00,626.00,3.50,218000.00
Ferrari,Italy,2021.00,611.00,561.00,3.30,222000.00
Audi,Germany,2022.00,394.00,369.00,3.90,57000.00
McLaren,UK,2021.00,612.00,465.00,3.10,210000.00
BMW,Germany,2020.00,369.00,420.00,4.20,148500.00
Mercedes-Benz,Germany,2019.00,603.00,627.00,3.40,132000.00
Porsche,Germany,2021.00,300.00,280.00,5.10,58900.00
Lamborghini,Italy,2021.00,759.00,531.00,2.80,518000.00
Ferrari,Italy,2021.00,986.00,590.00,2.50,625000.00
Audi,Germany,2022.00,394.00,369.00,3.90,56200.00
McLaren,UK,2021.00,562.00,443.00,2.80,192500.00
BMW,Germany,2022.00,503.00,479.00,3.80,71800.00
Mercedes-Benz,Germany,2021.00,503.00,516.00,3.80,68000.00
